Yem_Adi,Yem_Tipi,KM_%,CP_%,CF_%,Ham_Yag_%,Kul_%,ME_kcal_kg
Yonca kuru otu,Kaba yem,88.0,17.0,28.0,2.0,9.0,1900
Çayır kuru otu,Kaba yem,88.0,10.0,30.0,2.0,8.0,1800
Mısır silajı,Kaba yem,35.0,8.0,25.0,3.0,4.0,2400
Arpa samanı,Kaba yem,90.0,4.0,40.0,1.5,8.0,1200
Buğday samanı,Kaba yem,90.0,3.5,42.0,1.5,8.0,1100
Fiğ kuru otu,Kaba yem,88.0,16.0,30.0,2.0,9.0,1850
Korunga kuru otu,Kaba yem,88.0,15.0,29.0,2.0,8.5,1800
Pancar posası yaş,Kaba yem,23.0,9.0,20.0,0.8,6.0,1800
Yonca silajı,Kaba yem,40.0,18.0,24.0,3.0,10.0,2100
Ot silajı,Kaba yem,35.0,11.0,28.0,2.5,8.0,1900
Arpa,Kesif yem,89.0,11.5,5.0,2.0,2.5,2800
Mısır dane,Kesif yem,89.0,9.0,2.5,4.0,1.5,3300
Buğday,Kesif yem,89.0,12.0,3.0,2.0,2.0,3000
Yulaf,Kesif yem,89.0,11.0,10.0,5.0,3.0,2600
Çavdar,Kesif yem,89.0,10.0,2.5,1.8,2.0,2850
Sorgum,Kesif yem,89.0,10.0,2.8,3.0,1.8,3100
Soya küspesi,Kesif yem,89.0,44.0,7.0,1.5,6.5,2900
Ayçiçeği küspesi,Kesif yem,90.0,30.0,18.0,2.0,7.0,2300
Pamuk tohumu küspesi,Kesif yem,90.0,24.0,16.0,2.5,6.5,2200
Kepek,Kesif yem,89.0,15.0,11.0,4.0,5.5,2200
Süt Yemi 18% Protein,Süt yemi,89,18,2800,5.0,2.5
Süt Yemi 20% Protein,Süt yemi,89,20,2850,5.0,2.5
Süt Yemi 22% Protein,Süt yemi,89,22,2900,5.0,2.5
Süt Yemi 16% Protein,Süt yemi,89,16,2750,5.0,2.5
Besi Yemi Başlangıç,Besi yemi,89,16,3000,4.0,2.0
Besi Yemi Gelişim,Besi yemi,89,14,3100,4.0,2.0
Besi Yemi Bitirme,Besi yemi,89,12,3200,3.5,2.0
Yoğun Besi Yemi,Besi yemi,89,13,3300,3.5,2.0
